City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,palmer,42.1584,-72.3287,288.9,84,100,6.69,US,1702257596
225,kiama,-34.6833,150.8667,301.69,72,100,2.94,AU,1702257898
226,shakhtersk,48.0625,38.5167,272.02,94,100,6.1,UA,1702257898
227,katabu,-4.9333,122.5167,301.71,76,100,3.12,ID,1702257898
228,kyaikto,17.3,97.0167,298.02,86,6,1.55,MM,1702257898
229,guerrero negro,27.9769,-114.0611,293.13,39,0,3.56,MX,1702257898
230,burang,30.25,81.1667,259.49,38,0,1.48,CN,1702257898
231,namibe,-15.1961,12.1522,295.06,78,86,3.15,AO,1702257755
232,ta`u,-14.2336,-169.5144,298.16,92,100,7.89,AS,1702257817
233,ironwood,46.4547,-90.171,268.05,86,100,3.09,US,1702257898
234,karakol,42.4907,78.3936,267.5,73,100,2.3,KG,1702257898
235,puerto armuelles,8.2833,-82.8667,302.64,73,65,3.13,PA,1702257717
236,dudinka,69.4058,86.1778,246.27,97,100,5.36,RU,1702257764
237,yaren,-0.5472,166.916,301.74,73,56,0.75,NR,1702257898
238,al ghayzah,16.2079,52.176,295.39,67,8,2.91,YE,1702257898
239,punta arenas,-53.15,-70.9167,281.21,61,0,1.54,CL,1702257899
240,kayangel,8.0823,134.7173,301.82,79,14,7.2,PW,1702257899
241,kyren,51.6828,102.1408,248.12,91,18,0.45,RU,1702257899
242,san antonio de pale,-1.4014,5.6325,300.52,79,100,5.85,GQ,1702257899
243,shanyang,26.6702,119.2051,294.01,74,30,0.99,CN,1702257899
244,lihue,21.9789,-159.3672,299.92,77,20,4.12,US,1702257804
245,cidade velha,14.9167,-23.6167,296.41,78,20,3.09,CV,1702257899
246,howrah,22.5892,88.3103,289.15,88,0,0.0,IN,1702257882
247,jining,35.405,116.5814,272.06,91,100,5.36,CN,1702257866
248,touros,-5.1989,-35.4608,300.15,65,59,4.55,BR,1702257811
249,berezovyy,51.6667,135.7,251.08,56,4,3.48,RU,1702257899
250,coxim,-18.5067,-54.76,297.23,88,100,3.83,BR,1702257786
251,castillos,-34.1667,-53.8333,288.82,96,5,2.31,UY,1702257899
252,nguigmi,14.2495,13.1092,291.21,32,93,7.35,NE,1702257899
253,cooper's town,26.8667,-77.5167,297.82,87,30,9.36,BS,1702257899
254,east ballina,-28.8667,153.5833,301.93,58,62,4.24,AU,1702257899
255,feijo,-8.1642,-70.3536,297.78,92,100,0.95,BR,1702257899
256,nizhnyaya maktama,54.8636,52.4281,246.61,97,100,1.73,RU,1702257900
257,new norfolk,-42.7826,147.0587,296.32,25,18,1.2,AU,1702257900
258,kudat,6.8837,116.8477,299.11,94,40,1.54,MY,1702257900
259,brisas de zicatela,15.8369,-97.0419,300.44,61,0,1.54,MX,1702257900
260,sitka,57.0531,-135.33,276.09,81,75,2.57,US,1702257772
261,pimentel,-6.8367,-79.9342,294.31,78,0,7.72,PE,1702257900
262,rabak,13.1809,32.74,298.17,22,4,4.21,SD,1702257900
263,seybaplaya,19.65,-90.6667,296.85,84,100,8.67,MX,1702257900
264,vadso,70.0744,29.7487,262.24,92,100,10.29,NO,1702257789
265,solone,48.2081,34.8721,273.91,96,100,3.8,UA,1702257900
266,sao vicente,-23.9631,-46.3919,296.63,26,100,3.3,BR,1702257874
267,hajduszoboszlo,47.45,21.4,273.21,100,75,4.12,HU,1702257900
268,daru,-9.0763,143.2092,299.51,78,100,3.3,PG,1702257795
